"last_name, first_name",pitcher,ff_n_stuff_plus,si_n_stuff_plus,fc_n_stuff_plus,sl_n_stuff_plus,ch_n_stuff_plus,cu_n_stuff_plus,fs_n_stuff_plus,kn_n_stuff_plus,st_n_stuff_plus,sv_n_stuff_plus
"Webb, Logan",657277,,,,,,,,,,
"Rodón, Carlos",607074,,,,,,,,,,
"Crochet, Garrett",676979,,,,,,,,,,
"Gallen, Zac",668678,,,,,,,,,,
"Fried, Max",608331,,,,,,,,,,
"Kikuchi, Yusei",579328,,,,,,,,,,
"Peralta, Freddy",642547,,,,,,,,,,
"Ray, Robbie",592662,,,,,,,,,,
"Cease, Dylan",656302,,,,,,,,,,
"Gausman, Kevin",592332,,,,,,,,,,
"Luzardo, Jesús",666200,,,,,,,,,,
"Skenes, Paul",694973,,,,,,,,,,
"Castillo, Luis",622491,,,,,,,,,,
"Bibee, Tanner",676440,,,,,,,,,,
"Brown, Hunter",686613,,,,,,,,,,
"Irvin, Jake",663623,,,,,,,,,,
"Williams, Gavin",668909,,,,,,,,,,
"Pfaadt, Brandon",694297,,,,,,,,,,
"Sánchez, Cristopher",650911,,,,,,,,,,
"Valdez, Framber",664285,,,,,,,,,,
"Alcantara, Sandy",645261,,,,,,,,,,
"Keller, Mitch",656605,,,,,,,,,,
"Pivetta, Nick",601713,,,,,,,,,,
"Singer, Brady",663903,,,,,,,,,,
"Skubal, Tarik",669373,,,,,,,,,,
"Springs, Jeffrey",605488,,,,,,,,,,
"Kelly, Merrill",518876,,,,,,,,,,
"Flaherty, Jack",656427,,,,,,,,,,
"Bassitt, Chris",605135,,,,,,,,,,
"Gore, MacKenzie",669022,,,,,,,,,,
"Warren, Will",701542,,,,,,,,,,
"Ryan, Joe",657746,,,,,,,,,,
"Yamamoto, Yoshinobu",808967,,,,,,,,,,
"Littell, Zack",641793,,,,,,,,,,
"Soriano, José",667755,,,,,,,,,,
"Holmes, Clay",605280,,,,,,,,,,
"Boyd, Matthew",571510,,,,,,,,,,
"Severino, Luis",622663,,,,,,,,,,
"Pallante, Andre",669467,,,,,,,,,,
"Gray, Sonny",543243,,,,,,,,,,
"Baz, Shane",669358,,,,,,,,,,
"Woo, Bryan",693433,,,,,,,,,,
"Parker, Mitchell",680730,,,,,,,,,,
"Peterson, David",656849,,,,,,,,,,
"Pepiot, Ryan",686752,,,,,,,,,,
"Kremer, Dean",665152,,,,,,,,,,
"Abbott, Andrew",671096,,,,,,,,,,
"Wacha, Michael",608379,,,,,,,,,,
