"last_name, first_name",player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
"Abbott, Andrew",671096,CIN,FF,4-Seam Fastball,2.0,1,45,54.2,16,0.267,0.267,0.262,4.3,12.5,13.3,0.226,0.255,0.25,30.8
"Pérez, Eury",691587,MIA,FF,4-Seam Fastball,1.9,1,43,46.2,15,0.2,0.4,0.253,23.1,33.3,38.5,0.243,0.51,0.318,70.0
"Lauer, Eric",641778,TOR,FF,4-Seam Fastball,3.4,2,52,59.8,15,0.143,0.357,0.24,38.7,53.3,36.4,0.109,0.251,0.188,33.3
"López, Reynaldo",625643,ATL,FF,4-Seam Fastball,4.4,2,41,53.2,15,0.143,0.357,0.24,8.0,13.3,28.6,0.219,0.456,0.312,25.0
"Misiorowski, Jacob",694819,MIL,FF,4-Seam Fastball,1.1,1,61,64.9,15,0.154,0.385,0.287,65.5,60.0,39.1,0.123,0.351,0.264,75.0
"Woo, Bryan",693433,SEA,FF,4-Seam Fastball,1.5,1,59,71.1,14,0.231,0.385,0.293,29.7,35.7,38.5,0.192,0.289,0.241,37.5
"Flaherty, Jack",656427,DET,FF,4-Seam Fastball,2.8,1,43,48.3,13,0.1,0.1,0.231,25.0,15.4,14.3,0.335,0.654,0.482,62.5
"Sale, Chris",519242,ATL,FF,4-Seam Fastball,1.4,1,43,48.9,13,0.273,0.273,0.315,22.7,23.1,27.3,0.37,0.475,0.418,50.0
"Ray, Robbie",592662,SF,FF,4-Seam Fastball,2.3,1,46,51.7,13,0.231,0.538,0.319,11.5,7.7,5.9,0.204,0.489,0.291,33.3
"Horton, Cade",690990,CHC,FF,4-Seam Fastball,2.5,1,34,45.3,12,0.25,0.5,0.345,21.1,16.7,25.0,0.382,0.509,0.386,40.0
"Vásquez, Randy",681190,SD,FF,4-Seam Fastball,7.8,2,27,29.7,12,0.091,0.091,0.133,35.3,50.0,60.0,0.192,0.295,0.247,40.0
"Liberatore, Matthew",669461,STL,FF,4-Seam Fastball,-1.7,0,28,35.9,12,0.4,0.4,0.417,6.3,0.0,0.0,0.281,0.344,0.343,50.0
"Rogers, Trevor",669432,BAL,FF,4-Seam Fastball,-3.0,-1,34,38.6,11,0.25,0.25,0.436,25.0,9.1,9.1,0.252,0.387,0.388,28.6
"Warren, Will",701542,NYY,FF,4-Seam Fastball,1.5,1,40,48.2,11,0.222,0.222,0.291,28.0,27.3,15.8,0.152,0.174,0.246,50.0
"Peralta, Freddy",642547,NYM,FF,4-Seam Fastball,-0.3,0,39,48.8,11,0.182,0.455,0.264,22.2,36.4,44.4,0.201,0.458,0.276,57.1
"Montgomery, Mason",682254,PIT,FF,4-Seam Fastball,2.1,1,35,56.5,11,0.125,0.125,0.273,37.5,45.5,41.7,0.208,0.372,0.371,66.7
"Williams, Gavin",668909,CLE,FF,4-Seam Fastball,-4.3,-1,29,32.6,11,0.143,0.571,0.436,33.3,18.2,25.0,0.247,0.7,0.505,40.0
"Fuentes, Didier",800311,ATL,FF,4-Seam Fastball,4.5,2,37,66.1,11,0.111,0.111,0.145,16.7,36.4,30.8,0.182,0.386,0.283,50.0
"Ragans, Cole",666142,KC,FF,4-Seam Fastball,-0.8,0,45,50.0,10,0.143,0.571,0.41,30.0,20.0,13.3,0.243,0.676,0.475,60.0
"Burke, Sean",680732,CWS,FF,4-Seam Fastball,-1.3,-1,42,46.2,10,0.444,0.556,0.465,7.7,20.0,11.1,0.222,0.522,0.352,42.9
"Hancock, Emerson",676106,SEA,FF,4-Seam Fastball,4.5,2,51,52.6,10,0.0,0.0,0.07,24.3,60.0,28.6,0.01,0.01,0.078,0.0
"Kirby, George",669923,SEA,FF,4-Seam Fastball,4.9,2,41,45.6,10,0.1,0.1,0.09,22.7,30.0,25.0,0.243,0.26,0.221,42.9
"Cantillo, Joey",676282,CLE,FF,4-Seam Fastball,1.9,1,42,46.2,10,0.222,0.222,0.25,12.5,20.0,15.4,0.24,0.449,0.333,14.3
"Morales, Luis",806960,ATH,FF,4-Seam Fastball,-12.2,-3,28,39.4,10,0.444,1.444,0.76,12.5,10.0,16.7,0.569,1.524,0.853,87.5
"Latz, Jacob",656641,TEX,FF,4-Seam Fastball,3.7,1,38,55.9,9,0.0,0.0,0.178,23.5,11.1,7.7,0.147,0.196,0.211,57.1
"Skubal, Tarik",669373,DET,FF,4-Seam Fastball,2.7,1,28,37.8,9,0.222,0.333,0.239,7.1,11.1,12.5,0.303,0.431,0.317,37.5
"Early, Connelly",813349,BOS,FF,4-Seam Fastball,3.7,1,38,39.6,9,0.125,0.125,0.178,9.5,11.1,10.0,0.311,0.728,0.466,71.4
"Gallen, Zac",668678,AZ,FF,4-Seam Fastball,3.1,1,35,46.1,9,0.222,0.222,0.2,0.0,0.0,0.0,0.443,0.616,0.455,33.3
"Luzardo, Jesús",666200,PHI,FF,4-Seam Fastball,-5.3,-1,26,26.3,9,0.375,0.75,0.5,23.1,11.1,11.1,0.197,0.431,0.311,14.3
"Kay, Anthony",641743,CWS,FF,4-Seam Fastball,-8.4,-3,32,34.8,9,0.429,1.143,0.656,20.0,22.2,16.7,0.394,0.848,0.56,60.0
"King, Bryan",687911,HOU,FF,4-Seam Fastball,4.7,1,28,53.8,9,0.125,0.125,0.178,20.0,44.4,36.4,0.109,0.119,0.168,50.0
"Pivetta, Nick",601713,SD,FF,4-Seam Fastball,-4.0,-1,33,47.8,9,0.429,0.571,0.494,25.0,11.1,11.1,0.358,0.741,0.515,33.3
"Stanek, Ryne",592773,STL,FF,4-Seam Fastball,-3.1,-1,30,56.6,9,0.429,0.429,0.456,43.8,22.2,25.0,0.318,0.374,0.389,60.0
